id;start_date;end_date;language
1;2019-11-18T13:56:02;2019-11-18T07:04:19;FRENCH
2;2019-11-18T00:32:17;2019-11-18T13:17:58;ENGLISH
3;2019-11-17T23:58:44;2019-11-18T01:55:04;FRENCH
4;2019-11-18T11:44:34;2019-11-18T04:06:12;ENGLISH
5;2019-11-18T14:54:09;2019-11-18T15:29:06;FRENCH
6;2019-11-17T21:09:27;2019-11-17T18:10:49;SPANISH
7;2019-11-18T06:19:30;2019-11-18T09:22:37;ENGLISH
8;2019-11-18T08:07:27;2019-11-18T16:32:05;FRENCH
9;2019-11-18T08:41:51;2019-11-18T17:19:15;ENGLISH
10;2019-11-18T01:52:47;2019-11-18T01:16:24;SPANISH
